timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747866095545,16,Home,200,OK,Thread Group 1-1,text,true,,1497,251,1,1,http://localhost:8080/jpetstore/,13,0,9
1747866095545,13,Home-0,302,Found,Thread Group 1-1,,true,,146,125,1,1,http://localhost:8080/jpetstore,13,0,9
1747866095559,2,Home-1,200,OK,Thread Group 1-1,text,true,,1351,126,1,1,http://localhost:8080/jpetstore/,2,0,0
1747866097114,3,Main-Catalog,200,OK,Thread Group 1-1,text,true,,5717,460,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866097585,5,Home,200,OK,Thread Group 1-2,text,true,,1497,251,2,2,http://localhost:8080/jpetstore/,3,0,1
1747866097585,3,Home-0,302,Found,Thread Group 1-2,,true,,146,125,2,2,http://localhost:8080/jpetstore,3,0,1
1747866097588,2,Home-1,200,OK,Thread Group 1-2,text,true,,1351,126,2,2,http://localhost:8080/jpetstore/,2,0,0
1747866098642,5,Sign In,200,OK,Thread Group 1-1,text,true,,3923,595,3,3,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,5,0,0
1747866099154,3,Main-Catalog,200,OK,Thread Group 1-2,text,true,,5717,460,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866099540,3,Home,200,OK,Thread Group 1-3,text,true,,1497,251,3,3,http://localhost:8080/jpetstore/,2,0,0
1747866099540,2,Home-0,302,Found,Thread Group 1-3,,true,,146,125,3,3,http://localhost:8080/jpetstore,2,0,0
1747866099542,1,Home-1,200,OK,Thread Group 1-3,text,true,,1351,126,3,3,http://localhost:8080/jpetstore/,1,0,0
1747866100698,4,Sign In,200,OK,Thread Group 1-2,text,true,,3923,595,4,4,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,4,0,0
1747866101125,5,Main-Catalog,200,OK,Thread Group 1-3,text,true,,5717,460,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866101565,4,Home,200,OK,Thread Group 1-4,text,true,,1497,251,4,4,http://localhost:8080/jpetstore/,2,0,0
1747866101565,2,Home-0,302,Found,Thread Group 1-4,,true,,146,125,4,4,http://localhost:8080/jpetstore,2,0,0
1747866101567,2,Home-1,200,OK,Thread Group 1-4,text,true,,1351,126,4,4,http://localhost:8080/jpetstore/,2,0,0
1747866102313,14,Login,200,OK,Thread Group 1-1,text,true,,5262,1605,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1747866102313,10,Login-0,302,Found,Thread Group 1-1,,true,,193,930,5,5,http://localhost:8080/jpetstore/actions/Account.action,10,0,0
1747866102323,4,Login-1,200,OK,Thread Group 1-1,text,true,,5069,675,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866102684,2,Sign In,200,OK,Thread Group 1-3,text,true,,3923,595,5,5,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,2,0,0
1747866103180,5,Main-Catalog,200,OK,Thread Group 1-4,text,true,,5717,460,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866103587,6,Home,200,OK,Thread Group 1-5,text,true,,1497,251,5,5,http://localhost:8080/jpetstore/,5,0,1
1747866103587,5,Home-0,302,Found,Thread Group 1-5,,true,,146,125,5,5,http://localhost:8080/jpetstore,5,0,1
1747866103592,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,126,5,5,http://localhost:8080/jpetstore/,1,0,0
1747866103886,3,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,3,0,0
1747866104340,6,Login,200,OK,Thread Group 1-2,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866104340,4,Login-0,302,Found,Thread Group 1-2,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1747866104344,2,Login-1,200,OK,Thread Group 1-2,text,true,,5069,675,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1747866104782,5,Sign In,200,OK,Thread Group 1-4,text,true,,3923,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,5,0,0
1747866105119,4,Main-Catalog,200,OK,Thread Group 1-5,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866105457,7,Sign Out,200,OK,Thread Group 1-1,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
